Date,Nifty 50 Open,Nifty 50 High,Nifty 50 Low,Nifty 50 Close,Nifty 50 Shares Traded,Nifty 50 Turnover (Rs. Cr),Nifty 50 P/E,Nifty 50 P/B,Nifty 50 Div Ratio,Bond Price,Bond Open,Bond High,Bond Low,Bond Change %,GOLD Traded,GOLD  Value (Lacs),OIL Traded ,Oil Value (Lacs),INR-USD Conversion
27-Mar-18,10558.3,10578.65,10510.05,10556.6,406806347,15306.38,26.07,3.43,1.26,7.333,7.371,7.398,7.302,-0.038,13191,406517.1,153550,654041.01,64.9027
28-Mar-18,10515.4,10530.6,10463.95,10478.4,600528901,25270.83,25.87,3.41,1.27,7.398,7.313,7.412,7.286,0.0089,28,864.08,180485,757660.57,65.1553
2-Apr-18,10521.45,10604.75,10497.2,10596,-,-,26.36,3.49,1.24,#N/A,#N/A,#N/A,#N/A,#N/A,163,5028.1,157450,657369.46,65.1342
3-Apr-18,10574.25,10654.4,10561.65,10643.9,-,-,26.48,3.5,1.23,7.332,7.333,7.367,7.312,-0.0089,151,4696.7,125869,518788.76,64.915
4-Apr-18,10674.6,10683.9,10506.9,10523.6,411295991,15753.81,26.18,3.46,1.25,7.294,7.339,7.345,7.291,-0.0052,12988,401834.71,198459,811243.66,65.0428
5-Apr-18,10628.7,10732.9,10627.7,10726.25,400743032,15547.23,26.68,3.53,1.22,7.127,7.306,7.306,7.123,-0.0229,75,2305.78,153962,635465.87,64.891
6-Apr-18,10726.3,10766,10690.85,10750.35,371748825,14030.17,26.74,3.54,1.22,7.175,7.146,7.179,7.139,0.0067,12041,368911.78,175482,716252.96,64.9193
9-Apr-18,10752.4,10811.4,10747.2,10792.6,-,-,26.85,3.55,1.22,7.226,7.204,7.239,7.153,0.0071,6826,209588.36,138700,566525.11,64.8755
10-Apr-18,10829.15,10839.6,10788.55,10810.45,406210984,15034.73,26.89,3.56,1.21,7.379,7.247,7.379,7.247,0.0212,35,1079.94,156873,659286.37,64.9484
11-Apr-18,10837,10837,10764.9,10826.15,392061410,15045.44,26.93,3.56,1.21,7.536,7.423,7.542,7.386,0.0213,14002,437331.37,210471,909029.31,65.195
12-Apr-18,10819.45,10874.35,10802.2,10860.35,367533883,15177.04,27.02,3.57,1.21,7.468,7.512,7.527,7.443,-0.009,11046,344110.71,157106,683811.63,65.2892
13-Apr-18,10896.75,10923.6,10849.5,10879.35,362095016,15799.86,27.06,3.58,1.21,7.431,7.503,7.522,7.423,-0.005,8578,266353.03,149668,656549.74,65.2061
16-Apr-18,10800.5,10939.5,10798.75,10928.95,318621231,14139.54,27.19,3.6,1.2,7.486,7.404,7.49,7.404,0.0074,42,1307.63,119912,522205.01,65.4679
17-Apr-18,10960.75,10961.4,10896.25,10950.05,338399461,13423.24,27.24,3.6,1.2,7.489,7.483,7.509,7.471,0.0004,9340,292400.92,123177,535070.45,65.6812
18-Apr-18,10981.65,10995.4,10910.7,10928.45,-,-,27.19,3.6,1.2,7.536,7.492,7.536,7.478,0.0063,8762,275516.43,138643,615908.22,65.7202
19-Apr-18,10968.55,10981.05,10951.45,10974.75,416527311,16031.33,27.3,3.61,1.2,7.631,7.602,7.651,7.588,0.0126,105,3311.07,154766,702911.93,66.1255
20-Apr-18,10967,10982.75,10928.95,10966.85,389973344,18348.28,27.28,3.61,1.2,7.718,7.785,7.797,7.655,0.0114,63,1986.98,118550,535291.32,66.2084
23-Apr-18,10993.9,11043.9,10927.7,10993.3,329747006,16688.62,27.37,3.63,1.19,7.74,7.731,7.769,7.672,0.0029,159,5003.94,128630,581547.9,66.5468
24-Apr-18,10988.3,11041.85,10976.4,11022.35,358339161,16066.29,27.44,3.64,1.19,7.683,7.738,7.741,7.642,-0.0074,7192,224995.28,144579,661665.77,66.4159
25-Apr-18,11021.35,11023.3,10944.9,10980.55,354159041,15311.97,27.34,3.62,1.2,7.738,7.714,7.779,7.701,0.0072,1240,39252.73,149082,676720.15,66.92
